road_length,density,rotary_method,velocity,std,std_error,ci_lower,ci_upper,n_samples,n_gridlocked
16,0.1,0,,0,0,,,1,0
16,0.2,0,,0,0,,,1,0
16,0.3,0,,0,0,,,1,0
16,0.4,0,,0,0,,,1,0
16,0.5,0,,0,0,,,1,0
16,0.6,0,0.0,0,0,0.0,0.0,1,0
64,0.1,0,,0,0,,,1,0
64,0.2,0,,0,0,,,1,0
64,0.3,0,0.0,0,0,0.0,0.0,1,1
128,0.1,0,1.8800098522167485,0,0,1.8800098522167485,1.8800098522167485,1,0
128,0.2,0,1.1528541538461539,0,0,1.1528541538461539,1.1528541538461539,1,0
128,0.3,0,0.4712108285479901,0,0,0.4712108285479901,0.4712108285479901,1,0
128,0.4,0,0.46692340818209777,0,0,0.46692340818209777,0.46692340818209777,1,0
128,0.5,0,0.0,0,0,0.0,0.0,1,1
256,0.1,0,1.9145980392156863,0,0,1.9145980392156863,1.9145980392156863,1,0
256,0.2,0,1.128754901960784,0,0,1.128754901960784,1.128754901960784,1,0
256,0.3,0,0.8341797385620916,0,0,0.8341797385620916,0.8341797385620916,1,0
256,0.4,0,0.4477524509803922,0,0,0.4477524509803922,0.4477524509803922,1,0
256,0.5,0,0.49772745098039217,0,0,0.49772745098039217,0.49772745098039217,1,0
256,0.6,0,0.0,0,0,0.0,0.0,1,1
