road_length,density,rotary_method,velocity,std,std_error,ci_lower,ci_upper,n_samples,n_gridlocked
64,0.1,0,1.8303622828784119,0,0,1.8303622828784119,1.8303622828784119,1,0
64,0.2,0,0.17070139534883724,0,0,0.17070139534883724,0.17070139534883724,1,0
64,0.3,0,0.2553749483257544,0,0,0.2553749483257544,0.2553749483257544,1,0
64,0.4,0,0.0,0,0,0.0,0.0,1,1
128,0.1,0,1.8840492610837438,0,0,1.8840492610837438,1.8840492610837438,1,0
128,0.2,0,0.7992443076923075,0,0,0.7992443076923075,0.7992443076923075,1,0
128,0.3,0,0.5172009844134536,0,0,0.5172009844134536,0.5172009844134536,1,0
128,0.4,0,0.3366053521993233,0,0,0.3366053521993233,0.3366053521993233,1,0
128,0.5,0,0.0,0,0,0.0,0.0,1,1
256,0.1,0,1.9102352941176468,0,0,1.9102352941176468,1.9102352941176468,1,0
256,0.2,0,1.1558431372549018,0,0,1.1558431372549018,1.1558431372549018,1,0
256,0.3,0,0.8384934640522875,0,0,0.8384934640522875,0.8384934640522875,1,0
256,0.4,0,0.6443406862745098,0,0,0.6443406862745098,0.6443406862745098,1,0
256,0.5,0,0.4920098039215686,0,0,0.4920098039215686,0.4920098039215686,1,0
256,0.6,0,0.3754313725490196,0,0,0.3754313725490196,0.3754313725490196,1,0
256,0.7,0,0.2699033613445378,0,0,0.2699033613445378,0.2699033613445378,1,0
256,0.8,0,0.17261764705882357,0,0,0.17261764705882357,0.17261764705882357,1,0
256,0.9,0,0.08779956427015251,0,0,0.08779956427015251,0.08779956427015251,1,0
