road_length,density,velocity,std,std_error,ci_lower,ci_upper,n_samples,normality_p_value
32,0.05,1.8125,0.0,0.0,1.8125,1.8125,25,1.0
32,0.1,1.8125,0.0,0.0,1.8125,1.8125,25,1.0
32,0.15,1.8125,1.2819751242557092e-16,2.5639502485114185e-17,1.8125,1.8125,25,7.517540671874505e-10
32,0.2,1.8124918084436044,2.839729161133004e-05,5.679458322266008e-06,1.8124800866177422,1.8125035302694665,25,8.573070599366639e-10
32,0.25,1.8118778981854837,0.0008085260679878901,0.00016170521359757802,1.811544155027732,1.8122116413432354,25,9.66843917937467e-06
32,0.3,1.7958231092436978,0.006398757826451244,0.0012797515652902488,1.7931818318288542,1.7984643866585415,25,0.13889284412998684
32,0.35,1.7234921678069859,0.006817771510810866,0.0013635543021621732,1.7206779300440518,1.72630640556992,25,0.8166801327697064
32,0.4,1.585267407057341,0.005454052640248428,0.0010908105280496856,1.5830160847774906,1.5875187293371913,25,0.39353901891725535
32,0.45,1.4299696863623634,0.0037543296298060682,0.0007508659259612136,1.4284199752577966,1.4315193974669302,25,0.9293806792302681
32,0.5,1.2925928049395161,0.003994064457339706,0.0007988128914679412,1.2909441361618055,1.2942414737172268,25,0.9681661334861698
32,0.55,1.1779241521539872,0.002636738480623616,0.0005273476961247232,1.1768357600024775,1.1790125443054968,25,0.895350108233816
32,0.6,1.083652488972905,0.002830314883277375,0.000566062976655475,1.0824841924095947,1.084820785536215,25,0.24784404197922164
32,0.65,1.0055324253586664,0.002468409119112049,0.0004936818238224099,1.0045135161525773,1.0065513345647554,25,0.9944817319082601
32,0.7,0.9191012601260126,0.003156970458839828,0.0006313940917679656,0.9177981267681923,0.9204043934838329,25,0.32668366195479515
32,0.75,0.793532216061828,0.0035557069021244594,0.0007111413804248919,0.7920644923896549,0.7949999397340011,25,0.353835735467575
32,0.8,0.6383349480151229,0.0030971803018440165,0.0006194360603688033,0.6370564948211073,0.6396134012091386,25,0.6922586526891623
32,0.85,0.45515352112676055,0.004668132348619243,0.0009336264697238486,0.45322661079879967,0.45708043145472144,25,0.8439987803604636
32,0.9,0.27255436152338286,0.002502196393796958,0.0005004392787593916,0.2715215056157692,0.2735872174309965,25,0.6415632379982281
32,0.95,0.11512601140734845,0.0008845385589863065,0.0001769077117972613,0.11476089183542917,0.11549113097926772,25,0.9477916919055565
128,0.05,1.953099076923077,0.0002580515100789488,5.161030201578975e-05,1.9529925584949814,1.9532055953511724,25,0.6185557710090126
128,0.1,1.952847816056598,0.00021601579430932254,4.3203158861864506e-05,1.9527586491191653,1.9529369829940308,25,0.6775074047730578
128,0.15,1.9521830393765385,0.000189238343055204,3.78476686110408e-05,1.9521049256277312,1.9522611531253458,25,0.20439620641840686
128,0.2,1.9507388111350357,0.00029901446815069687,5.980289363013938e-05,1.9506153840288911,1.9508622382411802,25,0.6922428485169381
128,0.25,1.946372816190945,0.0007799027057364204,0.00015598054114728408,1.9460508881764291,1.946694744205461,25,0.9032392202743639
128,0.3,1.9254941300112787,0.002986683528925008,0.0005973367057850016,1.9242612876434013,1.926726972379156,25,0.4399882485889911
128,0.35,1.8276768608840848,0.0034923381230857423,0.0006984676246171485,1.8262352945582936,1.829118427209876,25,0.6241095944584811
128,0.4,1.6477375230698246,0.00212182335712426,0.000424364671424852,1.646861677434865,1.6486133687047841,25,0.7377712648089889
128,0.45,1.4704803485987696,0.0023235080404621243,0.00046470160809242487,1.4695212516182414,1.4714394455792978,25,0.6974082737489211
128,0.5,1.3256766424704725,0.002188316891229543,0.0004376633782459086,1.3247733496536334,1.3265799352873116,25,0.7567579886509815
128,0.55,1.2051315642301885,0.0015070979728441264,0.0003014195945688253,1.2045094647625114,1.2057536636978656,25,0.9973125660456719
128,0.6,1.1029207976623776,0.00157239347370111,0.00031447869474022204,1.1022717455366406,1.1035698497881146,25,0.7572052072466848
128,0.65,1.0035512374597766,0.002105184940350542,0.00042103698807010844,1.0026822598257066,1.0044202150938466,25,0.9064224502378739
128,0.7,0.8744435033834257,0.002838830694395086,0.0005677661388790172,0.8732716916660522,0.8756153151007992,25,0.11130431692829369
128,0.75,0.7118390235400264,0.002464107383803468,0.0004928214767606936,0.7108218900030006,0.7128561570770522,25,0.6731430270818834
128,0.8,0.5421205351993541,0.0020598609508439064,0.00041197219016878125,0.541270266388634,0.5429708040100742,25,0.029573105476617553
128,0.85,0.37945028044146917,0.0016828068031579462,0.00033656136063158924,0.3787556519333621,0.38014490894957625,25,0.6112623759753597
128,0.9,0.23387692241968558,0.0009306591411331912,0.00018613182822663823,0.23349276520713544,0.23426107963223572,25,0.19301811445019262
128,0.95,0.10798898368192708,0.00040823457002362183,8.164691400472436e-05,0.10782047273355136,0.1081574946303028,25,0.13829412437146296
256,0.05,1.9762679227941178,0.00012468420193596875,2.493684038719375e-05,1.9762164556851112,1.9763193899031244,25,0.11382464913151706
256,0.1,1.975705001531863,0.00010097652154107297,2.0195304308214595e-05,1.9756633204723495,1.9757466825913763,25,0.18957488914135218
256,0.15,1.974620710784314,0.00016904894390129484,3.3809788780258965e-05,1.9745509308098814,1.9746904907587464,25,0.09094129632175939
256,0.2,1.9723758042279411,0.00020735058432802607,4.1470116865605214e-05,1.9722902141133916,1.9724613943424907,25,0.7975525903670331
256,0.25,1.9660616881127453,0.0005509442414859958,0.00011018884829719916,1.9658342695072373,1.9662891067182533,25,0.5029637808306553
256,0.3,1.941035768995098,0.0017046293588157703,0.0003409258717631541,1.9403321325787444,1.9417394054114518,25,0.3500522057639217
