road_length,density,rotary_method,velocity,std,std_error,ci_lower,ci_upper,n_samples,n_gridlocked
16,0.1,0,1.537308304398148,0,0,1.537308304398148,1.537308304398148,1,0
16,0.2,0,0.004475911458333334,0,0,0.004475911458333334,0.004475911458333334,1,0
16,0.3,0,0.00759548611111111,0,0,0.00759548611111111,0.00759548611111111,1,0
16,0.4,0,0.0003454137731481482,0,0,0.0003454137731481482,0.0003454137731481482,1,0
64,0.1,0,1.3978770333609043,0,0,1.3978770333609043,1.3978770333609043,1,0
64,0.2,0,1.1716589147286822,0,0,1.1716589147286822,1.1716589147286822,1,0
64,0.3,0,0.032791327913279135,0,0,0.032791327913279135,0.032791327913279135,1,0
64,0.4,0,0.0,0,0,0.0,0.0,1,0
128,0.1,0,1.9226874657909137,0,0,1.9226874657909137,1.9226874657909137,1,0
128,0.2,0,1.2559452991452993,0,0,1.2559452991452993,1.2559452991452993,1,0
128,0.3,0,0.009853249475890984,0,0,0.009853249475890984,0.009853249475890984,1,0
128,0.4,0,0.0,0,0,0.0,0.0,1,0
256,0.1,0,1.9409586056644883,0,0,1.9409586056644883,1.9409586056644883,1,0
256,0.2,0,0.7226851851851852,0,0,0.7226851851851852,0.7226851851851852,1,0
256,0.3,0,0.34854756717501817,0,0,0.34854756717501817,0.34854756717501817,1,0
256,0.4,0,0.0607979302832244,0,0,0.0607979302832244,0.0607979302832244,1,0
256,0.5,0,0.00840958605664488,0,0,0.00840958605664488,0.00840958605664488,1,0
256,0.6,0,0.004720406681190995,0,0,0.004720406681190995,0.004720406681190995,1,0
256,0.7,0,0.020214752567693742,0,0,0.020214752567693742,0.020214752567693742,1,0
256,0.8,0,0.00047657952069716776,0,0,0.00047657952069716776,0.00047657952069716776,1,0
