road_length,density,rotary_method,velocity,std,std_error,ci_lower,ci_upper,n_samples,n_gridlocked,normality_p_value
32,0.05,0,1.7607240705734089,0.0009968623462396284,0.0001993724692479257,1.7603125860209,1.7611355551259178,25,0,6.25990022019356e-05
32,0.1,0,1.327651833297243,0.6950918074761067,0.13901836149522134,1.0407320369673714,1.6145716296271144,25,1,4.623545175414175e-07
32,0.15,0,0.9698904011762235,0.5160050076491871,0.10320100152983742,0.7568940025602209,1.182886799792226,25,0,0.001401812895176395
32,0.2,0,0.06987996219281664,0.0897064491566669,0.01794128983133338,0.03285095991617624,0.10690896446945705,25,0,1.6680983212301783e-05
32,0.25,0,0.11853603830645161,0.15845977254308044,0.03169195450861609,0.0531270589809382,0.18394501763196502,25,0,2.0906854435674494e-06
32,0.3,0,0.0015634148902656725,0.001016926312061137,0.00020338526241222738,0.0011436483397167388,0.0019831814408146063,25,1,0.1516624690996028
32,0.35,0,0.00035963966882966584,0.0005793177515673092,0.00011586355031346184,0.0001205090539925961,0.0005987702836667356,25,13,1.6400174352140277e-06
64,0.05,0,1.8814367245657566,0.0004103016935339711,8.206033870679422e-05,1.881267360350733,1.8816060887807802,25,0,0.00045379221534350833
64,0.1,0,1.0204289860361018,0.7145071680917405,0.14290143361834812,0.725494922736611,1.3153630493355926,25,2,0.00029382603840745047
64,0.15,0,1.466070525010335,0.01124167822418141,0.0022483356448362818,1.4614301883069003,1.4707108617137696,25,0,0.12252558477172194
64,0.2,0,0.5626516021925219,0.4310095976747169,0.08620191953494338,0.3847395844547778,0.7405636199302659,25,7,0.00319760984815134
64,0.25,0,0.09182751060093437,0.1127983518949106,0.02255967037898212,0.045266639354950906,0.13838838184691785,25,6,0.0003574556597762177
64,0.3,0,0.021083609191052833,0.022690668105623344,0.004538133621124669,0.011717361737937866,0.0304498566441678,25,16,0.0007491363707525741
64,0.35,0,0.002853969920079626,0.0075327774537273995,0.00150655549074548,-0.00025540779028276764,0.005963347630442019,25,24,4.065888053942544e-09
64,0.4,0,0.002684827859465779,0.003788868161590835,0.000757773632318167,0.001120859949684673,0.004248795769246885,25,25,1.7356480791473167e-05
64,0.45,0,0.0014344061800793959,0.0022886213604411927,0.00045772427208823856,0.0004897097132942474,0.0023791026468645443,25,25,3.221690180808324e-06
64,0.5,0,0.0003293462365066154,0.000569936085485206,0.0001139872170970412,9.408818309605111e-05,0.0005646042899171797,25,25,1.4755876417254535e-06
128,0.05,0,1.9375379310344827,0.0024477592899523966,0.0004895518579904793,1.9365275456589337,1.9385483164100317,25,0,4.078530313226486e-05
128,0.1,0,1.911847290640394,0.015511017131723743,0.0031022034263447486,1.9054446574508836,1.9182499238299044,25,0,0.002111359098344448
