road_length,density,rotary_method,velocity,std,std_error,ci_lower,ci_upper,n_samples,n_gridlocked,normality_p_value
32,0.05,0,1.7613640831758033,0.001558247469117409,0.00022036947043593903,1.760921234144996,1.7618069322066106,50,0,0.000658084852900776
32,0.15,0,0.8390647237975215,0.6216881900796006,0.08791998699777538,0.6623828950780675,1.0157465525169755,50,0,3.4086138337826335e-07
32,0.25,0,0.007601418907227974,0.017937219239068915,0.0025367058719150868,0.00250371760314708,0.012699120211308867,50,1,2.696674108654432e-14
32,0.35,0,0.00025930206311151844,0.00040147662694325355,5.677736907989527e-05,0.00014520366817921356,0.0003734004580438233,50,30,8.633502824415247e-09
64,0.05,0,1.8622081265508683,0.07827552462968344,0.011069830853316757,1.8399624685888338,1.8844537845129028,50,0,1.8512292788607617e-14
64,0.15,0,1.007275935709778,0.6266664997419734,0.08862402630199745,0.8291792870385936,1.1853725843809624,50,11,2.888674176442235e-09
64,0.25,0,0.09157188701335009,0.08433771472992821,0.011927153999061762,0.0676033736874086,0.11554040033929158,50,13,0.00020411836593481835
64,0.35,0,0.006742956836672247,0.012192208737010019,0.0017242386951163311,0.0032779694520664354,0.010207944221278058,50,47,2.442517113894742e-10
64,0.45,0,0.003336776355944785,0.005792428451554118,0.000819173087526362,0.0016905864043291051,0.004982966307560465,50,47,2.989728412651832e-10
64,0.55,0,0.0003332922560671133,0.0012386578956975413,0.00017517267952359814,-1.8730422925085637e-05,0.0006853149350593123,50,50,2.26866378189964e-14
128,0.05,0,1.9369286945812803,0.001525299921813358,0.00021570998361150723,1.936495209139813,1.9373621800227474,50,0,3.0137901834488075e-05
128,0.15,0,1.0403438726753869,0.4990006238990158,0.07056934499506241,0.8985294644728792,1.1821582808778945,50,9,1.3753234354114329e-06
128,0.25,0,0.24973091354234542,0.09366686381966087,0.013246494915871817,0.22311108538065105,0.2763507417040398,50,27,0.4710778046050615
128,0.35,0,0.06928524700019309,0.044192990067431645,0.006249832591518131,0.056725738188075,0.08184475581231118,50,48,8.063678944423486e-05
128,0.45,0,0.04147684286446441,0.0347155897967158,0.004909525791629652,0.03161078140755814,0.05134290432137068,50,49,9.841963605985028e-06
128,0.55,0,0.019977843759567744,0.014592066105583078,0.0020636297789560338,0.015830824457175215,0.024124863061960274,50,50,2.525790354554209e-05
128,0.65,0,0.013139474863878611,0.009749495059017826,0.0013787868138752488,0.01036869902543459,0.01591025070232263,50,50,0.002808983496243702
128,0.75,0,0.008060793149370794,0.006988761039372804,0.0009883600646065707,0.006074609238169974,0.010046977060571612,50,50,0.0008304602529857985
128,0.85,0,0.0033501487472083007,0.003569564945648021,0.0005048127157907011,0.0023356896141673474,0.004364607880249254,50,50,1.4988454338742417e-05
128,0.95,0,0.0016626688451652602,0.0014206448087619597,0.00020090951558660952,0.0012589260577387789,0.0020664116325917418,50,50,0.0001444880474324359
256,0.05,0,1.9681394607843137,0.0007629265388252102,0.00010789410583009758,1.9679226394610052,1.9683562821076221,50,0,0.33566000683687636
256,0.15,0,1.2624908463636806,0.3763184246773733,0.053219461994961935,1.1555423334052644,1.3694393593220968,50,7,1.1285182058047753e-10
256,0.25,0,0.2910874005623905,0.1627897881006229,0.023021952614774317,0.2448230546773773,0.33735174644740373,50,31,0.019056584961226225
256,0.35,0,0.1511815788465656,0.0987163960336546,0.013960606609938794,0.12312668950792982,0.1792364681852014,50,43,0.002665935749113944
256,0.45,0,0.14467986034226776,0.06771514489580799,0.009576367628971091,0.1254354290934414,0.16392429159109412,50,39,0.00010926097383179398
256,0.55,0,0.09557291762094353,0.04021755165999336,0.0056876207003003195,0.08414321590343635,0.1070026193384507,50,46,0.16738438202482483
256,0.65,0,0.045979187411964925,0.030596330700589133,0.004326974583562545,0.037283806437150034,0.054674568386779816,50,46,0.09481481443364731
256,0.75,0,0.04816275080355882,0.02119633062455621,0.002997613824179157,0.0421388202920121,0.05418668131510554,50,49,1.155012866098971e-05
256,0.85,0,0.01945303164603234,0.010318744727440132,0.00145929087402117,0.016520476841830715,0.022385586450233967,50,47,0.011311667574488158
256,0.95,0,0.009155418477697602,0.003060389652649816,0.0004328044552923655,0.008285665361822856,0.010025171593572349,50,42,0.002983652534434205
