road_length,density,rotary_method,velocity,std,std_error,ci_lower,ci_upper,n_samples,n_gridlocked
16,0.05,0,1.560091145833333,0,0,1.560091145833333,1.560091145833333,1,0
16,0.1,0,1.55162109375,0,0,1.55162109375,1.55162109375,1,0
16,0.15,0,0.0080859375,0,0,0.0080859375,0.0080859375,1,0
16,0.2,0,0.003974609375,0,0,0.003974609375,0.003974609375,1,0
16,0.25,0,0.0037109374999999994,0,0,0.0037109374999999994,0.0037109374999999994,1,0
16,0.3,0,0.004963107638888889,0,0,0.004963107638888889,0.004963107638888889,1,0
16,0.35,0,0.004696800595238095,0,0,0.004696800595238095,0.004696800595238095,1,0
16,0.4,0,0.0023193359375,0,0,0.0023193359375,0.0023193359375,1,0
16,0.45,0,0.00021701388888888888,0,0,0.00021701388888888888,0.00021701388888888888,1,0
64,0.05,0,1.8817866004962778,0,0,1.8817866004962778,1.8817866004962778,1,0
64,0.1,0,1.8660545905707198,0,0,1.8660545905707198,1.8660545905707198,1,0
64,0.15,0,1.0967011161637041,0,0,1.0967011161637041,1.0967011161637041,1,0
64,0.2,0,1.235187596899225,0,0,1.235187596899225,1.235187596899225,1,0
64,0.25,0,0.1539484126984127,0,0,0.1539484126984127,0.1539484126984127,1,0
64,0.3,0,0.0,0,0,0.0,0.0,1,0
128,0.05,0,1.9406896551724138,0,0,1.9406896551724138,1.9406896551724138,1,0
128,0.1,0,1.9200985221674878,0,0,1.9200985221674878,1.9200985221674878,1,0
128,0.15,0,1.4454470877768661,0,0,1.4454470877768661,1.4454470877768661,1,0
128,0.2,0,1.4294646153846153,0,0,1.4294646153846153,1.4294646153846153,1,0
128,0.25,0,0.4507086614173228,0,0,0.4507086614173228,0.4507086614173228,1,0
128,0.3,0,0.027563576702214935,0,0,0.027563576702214935,0.027563576702214935,1,0
128,0.35,0,0.0,0,0,0.0,0.0,1,0
256,0.05,0,1.9750980392156863,0,0,1.9750980392156863,1.9750980392156863,1,0
256,0.1,0,0.4344117647058824,0,0,0.4344117647058824,0.4344117647058824,1,0
256,0.15,0,1.4488235294117646,0,0,1.4488235294117646,1.4488235294117646,1,0
256,0.2,0,0.7655392156862746,0,0,0.7655392156862746,0.7655392156862746,1,0
256,0.25,0,0.0287843137254902,0,0,0.0287843137254902,0.0287843137254902,1,0
256,0.3,0,0.0009803921568627453,0,0,0.0009803921568627453,0.0009803921568627453,1,0
