road_length,density,rotary_method,velocity,std,std_error,ci_lower,ci_upper,n_samples,n_gridlocked
16,0.1,0,1.526150390625,0,0,1.526150390625,1.526150390625,1,0
16,0.2,0,0.3610797526041667,0,0,0.3610797526041667,0.3610797526041667,1,0
16,0.3,0,0.09751692708333334,0,0,0.09751692708333334,0.09751692708333334,1,0
16,0.4,0,0.04990152994791667,0,0,0.04990152994791667,0.04990152994791667,1,0
16,0.5,0,0.0,0,0,0.0,0.0,1,1
32,0.1,0,0.9219533711405167,0,0,0.9219533711405167,0.9219533711405167,1,0
32,0.2,0,0.18100567107750473,0,0,0.18100567107750473,0.18100567107750473,1,0
32,0.3,0,0.12521726346739473,0,0,0.12521726346739473,0.12521726346739473,1,0
32,0.4,0,0.0,0,0,0.0,0.0,1,1
