road_length,density,rotary_method,velocity,std,std_error,ci_lower,ci_upper,n_samples,n_gridlocked
16,0.1,0,0.4257298177083333,0,0,0.4257298177083333,0.4257298177083333,1,0
16,0.2,0,1.0844401041666667,0,0,1.0844401041666667,1.0844401041666667,1,0
16,0.3,0,0.06113237847222221,0,0,0.06113237847222221,0.06113237847222221,1,0
16,0.4,0,0.049104329427083336,0,0,0.049104329427083336,0.049104329427083336,1,0
16,0.5,0,0.0,0,0,0.0,0.0,1,1
32,0.1,0,1.724032766225583,0,0,1.724032766225583,1.724032766225583,1,0
32,0.2,0,0.7273547574039068,0,0,0.7273547574039068,0.7273547574039068,1,0
32,0.3,0,0.13589751128845953,0,0,0.13589751128845953,0.13589751128845953,1,0
32,0.4,0,0.0,0,0,0.0,0.0,1,1
64,0.1,0,1.814076923076923,0,0,1.814076923076923,1.814076923076923,1,0
64,0.2,0,1.1184272868217053,0,0,1.1184272868217053,1.1184272868217053,1,0
64,0.3,0,0.0,0,0,0.0,0.0,1,1
