road_length,density,rotary_method,velocity,std,std_error,ci_lower,ci_upper,n_samples,n_gridlocked,normality_p_value
32,0.05,0,0.081054909889677,0.024681366917402015,0.011037842840985069,0.050408945161881435,0.11170087461747255,5,1,0.036655298591936204
32,0.15,0,0.0,0.0,0.0,0.0,0.0,5,5,
64,0.05,0,0.11816004962779156,0.019138688984969166,0.0085590819141235,0.09439622854233636,0.14192387071324675,5,0,0.7458305464320814
64,0.15,0,0.0,0.0,0.0,0.0,0.0,5,5,
128,0.05,0,0.27483974174000864,0.1463996673782901,0.06547192162824302,0.09306054540737943,0.45661893807263787,5,1,0.21895832344683736
128,0.15,0,0.0,0.0,0.0,0.0,0.0,5,5,
256,0.05,0,0.3845336221291946,0.20477230658242718,0.09157695948554696,0.13027522121665064,0.6387920230417385,5,2,0.31181766196920085
256,0.15,0,0.0,0.0,0.0,0.0,0.0,5,5,
