road_length,density,rotary_method,velocity,std,std_error,ci_lower,ci_upper,n_samples,n_gridlocked,normality_p_value
32,0.05,0,1.761147624448645,0.0019663849506775747,0.00039327699013551494,1.760335940634383,1.761959308262907,25,0,0.00019668398820665492
32,0.1,0,1.5922559546313801,0.3096769829952747,0.061935396599054934,1.4644275786767296,1.7200843305860307,25,0,2.0038298580125624e-07
32,0.15,0,1.0772096282293635,0.5409574923540053,0.10819149847080105,0.853913350155097,1.30050590630363,25,0,9.481168875803599e-07
32,0.2,0,0.44622366729678636,0.39724738279945004,0.07944947655989001,0.2822480069027302,0.6101993276908425,25,0,0.0012119629926526047
32,0.25,0,0.09318623991935483,0.06882389822153079,0.013764779644306158,0.06477713101034469,0.12159534882836498,25,0,1.3253726265332988e-06
32,0.3,0,0.07880951800903077,0.01353285521689796,0.002706571043379592,0.07322342992565557,0.08439560609240597,25,0,0.0013205040796550004
32,0.35,0,0.02558649144914491,0.022166674351761586,0.004433334870352317,0.016436537987009416,0.034736444911280404,25,10,0.0002614706363331473
32,0.4,0,0.011935109080885247,0.01791138817360628,0.0035822776347212556,0.004541651423231819,0.019328566738538677,25,17,1.2108361138747766e-06
32,0.45,0,0.012135194623354802,0.019889420482497543,0.003977884096499509,0.003925245358266485,0.02034514388844312,25,18,2.6971643685459176e-07
32,0.5,0,0.0,0.0,0.0,0.0,0.0,25,25,
64,0.05,0,1.8664168734491318,0.03364672649606276,0.006729345299212553,1.8525281873653887,1.8803055595328748,25,0,2.0671393435953184e-10
64,0.1,0,1.5154817866004964,0.49475742510271103,0.09895148502054221,1.3112559589956425,1.7197076142053502,25,0,1.3467078054789355e-06
64,0.15,0,0.7771190409260025,0.7235593181397472,0.14471186362794944,0.47844843373376733,1.0757896481182376,25,9,2.7462143601839295e-06
64,0.2,0,0.5542966573643411,0.4943923173982195,0.0988784634796439,0.3502215388127152,0.7583717759159669,25,4,0.0001457238660513723
64,0.25,0,0.12219055555555557,0.12869180778211256,0.025738361556422513,0.06906918816059318,0.17531192295051795,25,9,0.00105250811892902
64,0.3,0,0.05399545266639108,0.06361859626109458,0.012723719252218916,0.0277349868031777,0.08025591852960445,25,14,1.783949376562464e-05
64,0.35,0,0.029782693125442947,0.04893276260195179,0.009786552520390358,0.009584241455312205,0.04998114479557369,25,18,3.55523022495972e-07
64,0.4,0,0.0,0.0,0.0,0.0,0.0,25,25,
128,0.05,0,1.933183251231527,0.0017070073204082444,0.0003414014640816489,1.9324786332408712,1.9338878692221828,25,0,0.010113157535579976
128,0.1,0,1.805006600985222,0.32950723868120246,0.06590144773624049,1.668992697793191,1.9410205041772528,25,0,1.3424304750263575e-09
128,0.15,0,1.4742206398687452,0.01499750038502443,0.002999500077004886,1.4680299759742117,1.4804113037632787,25,0,0.11515263262427029
128,0.2,0,0.3659798646153846,0.4497671044486457,0.08995342088972914,0.18032512862755268,0.5516346006032166,25,14,2.532398282477499e-05
128,0.25,0,0.10951299212598425,0.20187656089267564,0.04037531217853513,0.02618244339542329,0.1928435408565452,25,18,4.277467181428055e-07
128,0.3,0,0.019107924528301887,0.06614601653622176,0.013229203307244353,-0.008195809149004394,0.046411658205608164,25,23,7.77359835684319e-10
128,0.35,0,0.009737946554149087,0.04868973277074543,0.009737946554149087,-0.010360187332169755,0.029836080440467927,25,24,1.2135435514282316e-10
128,0.4,0,0.0,0.0,0.0,0.0,0.0,25,25,
256,0.05,0,1.9655341176470589,0.000542120222378734,0.0001084240444757468,1.9653103414176194,1.9657578938764984,25,0,0.30046058554104615
256,0.1,0,1.9357552941176472,0.011680963524006032,0.0023361927048012065,1.930933629354522,1.9405769588807724,25,0,0.04003162069600171
256,0.15,0,0.9682635294117646,0.6950400256513757,0.13900800513027514,0.6813651075686091,1.2551619512549201,25,8,3.627499253451511e-06
256,0.2,0,0.6720669607843138,0.5280173536764798,0.10560347073529597,0.4541121094308097,0.890021812137818,25,9,1.8065543621149405e-05
256,0.25,0,0.39897498039215684,0.3095169560369125,0.061903391207382495,0.27121266031934343,0.5267373004649702,25,9,1.9714049332709987e-05
256,0.3,0,0.05344928104575164,0.1477914170792289,0.029558283415845783,-0.0075560175804058605,0.11445457967190914,25,22,3.440209334230974e-09
256,0.35,0,0.13297372549019607,0.22213088726650257,0.04442617745330051,0.04128260174569792,0.2246648492346942,25,18,6.833142881333652e-07
256,0.4,0,0.07272999999999999,0.17085782129091154,0.03417156425818231,0.0022033576789580317,0.14325664232104196,25,21,1.5276324534562977e-08
256,0.45,0,0.06020296296296296,0.12314571042723814,0.024629142085447628,0.00937091203867544,0.11103501388725048,25,20,4.685289611998811e-08
256,0.5,0,0.03418917647058824,0.09487385939288472,0.018974771878576942,-0.004972827916826537,0.07335118085800302,25,22,4.092619463502097e-09
256,0.55,0,0.022098573975044566,0.07682554342113344,0.015365108684226688,-0.009613451737589106,0.053810599687678234,25,23,8.545447060119408e-10
256,0.6,0,0.0,0.0,0.0,0.0,0.0,25,25,
