road_length,density,rotary_method,velocity,std,std_error,ci_lower,ci_upper,n_samples,n_gridlocked
16,0.05,0,1.55234375,0,0,1.55234375,1.55234375,1,0
16,0.06,0,1.5597721106890938,0,0,1.5597721106890938,1.5597721106890938,1,0
16,0.07,0,1.5779813953488369,0,0,1.5779813953488369,1.5779813953488369,1,0
16,0.08,0,1.5595849440488303,0,0,1.5595849440488303,1.5595849440488303,1,0
16,0.09,0,1.5472092602640621,0,0,1.5472092602640621,1.5472092602640621,1,0
16,0.1,0,1.5588671875,0,0,1.5588671875,1.5588671875,1,0
16,0.11,0,1.5485528262799648,0,0,1.5485528262799648,1.5485528262799648,1,0
16,0.12,0,1.1279001627780791,0,0,1.1279001627780791,1.1279001627780791,1,0
16,0.13,0,1.467028921998247,0,0,1.467028921998247,1.467028921998247,1,0
16,0.14,0,1.426192303220556,0,0,1.426192303220556,1.426192303220556,1,0
16,0.15,0,1.3486501736111112,0,0,1.3486501736111112,1.3486501736111112,1,0
16,0.16,0,0.005241098677517802,0,0,0.005241098677517802,0.005241098677517802,1,0
16,0.17,0,0.008904634239754882,0,0,0.008904634239754882,0.008904634239754882,1,0
16,0.18,0,1.158665340446695,0,0,1.158665340446695,1.158665340446695,1,0
16,0.19,0,0.007792341300436906,0,0,0.007792341300436906,0.007792341300436906,1,0
16,0.2,0,0.12759114583333334,0,0,0.12759114583333334,0.12759114583333334,1,0
16,0.21,0,0.007521314524879863,0,0,0.007521314524879863,0.007521314524879863,1,0
16,0.22,0,0.38898490677715303,0,0,0.38898490677715303,0.38898490677715303,1,0
16,0.23,0,0.004492251079187601,0,0,0.004492251079187601,0.004492251079187601,1,0
16,0.24,0,0.004950830790098338,0,0,0.004950830790098338,0.004950830790098338,1,0
16,0.25,0,0.0077473958333333336,0,0,0.0077473958333333336,0.0077473958333333336,1,0
16,0.26,0,0.007512207336922499,0,0,0.007512207336922499,0.007512207336922499,1,0
16,0.27,0,0.00867856281649385,0,0,0.00867856281649385,0.00867856281649385,1,0
16,0.28,0,0.003399407080160437,0,0,0.003399407080160437,0.003399407080160437,1,0
16,0.29,0,0.0032822585171465458,0,0,0.0032822585171465458,0.0032822585171465458,1,0
16,0.3,0,0.009168836805555556,0,0,0.009168836805555556,0.009168836805555556,1,0
16,0.31,0,0.005540270923028457,0,0,0.005540270923028457,0.005540270923028457,1,0
16,0.32,0,0.0019328585961342828,0,0,0.0019328585961342828,0.0019328585961342828,1,0
16,0.33,0,0.0049085080147965475,0,0,0.0049085080147965475,0.0049085080147965475,1,0
16,0.34,0,0.00557614055244387,0,0,0.00557614055244387,0.00557614055244387,1,0
16,0.35,0,0.003138020833333334,0,0,0.003138020833333334,0.003138020833333334,1,0
16,0.36,0,0.0017632697350574195,0,0,0.0017632697350574195,0.0017632697350574195,1,0
16,0.37,0,0.0007478444483547422,0,0,0.0007478444483547422,0.0007478444483547422,1,0
64,0.05,0,1.8813399503722084,0,0,1.8813399503722084,1.8813399503722084,1,0
64,0.06,0,1.8823991726990696,0,0,1.8823991726990696,1.8823991726990696,1,0
64,0.07,0,1.882163120567376,0,0,1.882163120567376,1.882163120567376,1,0
64,0.08,0,1.8801240310077518,0,0,1.8801240310077518,1.8801240310077518,1,0
64,0.09,0,1.8788973121984835,0,0,1.8788973121984835,1.8788973121984835,1,0
64,0.1,0,1.8689081885856078,0,0,1.8689081885856078,1.8689081885856078,1,0
64,0.11,0,0.4355129650507327,0,0,0.4355129650507327,0.4355129650507327,1,0
64,0.12,0,1.4884547803617574,0,0,1.4884547803617574,1.4884547803617574,1,0
64,0.13,0,1.5886450381679387,0,0,1.5886450381679387,1.5886450381679387,1,0
64,0.14,0,1.5026672574213558,0,0,1.5026672574213558,1.5026672574213558,1,0
64,0.15,0,1.4086812732534104,0,0,1.4086812732534104,1.4086812732534104,1,0
64,0.16,0,0.22568992248062017,0,0,0.22568992248062017,0.22568992248062017,1,0
64,0.17,0,1.2656694636993797,0,0,1.2656694636993797,1.2656694636993797,1,0
64,0.18,0,1.2568515328970031,0,0,1.2568515328970031,1.2568515328970031,1,0
64,0.19,0,1.3827676240208877,0,0,1.3827676240208877,1.3827676240208877,1,0
64,0.2,0,0.6148093023255814,0,0,0.6148093023255814,0.6148093023255814,1,0
64,0.21,0,1.042787950383934,0,0,1.042787950383934,1.042787950383934,1,0
64,0.22,0,0.16476888387824126,0,0,0.16476888387824126,0.16476888387824126,1,0
64,0.23,0,0.598846050148288,0,0,0.598846050148288,0.598846050148288,1,0
64,0.24,0,0.11970025839793283,0,0,0.11970025839793283,0.11970025839793283,1,0
64,0.25,0,0.001736111111111111,0,0,0.001736111111111111,0.001736111111111111,1,0
64,0.26,0,0.09076079179585023,0,0,0.09076079179585023,0.09076079179585023,1,0
64,0.27,0,0.0011483693155718878,0,0,0.0011483693155718878,0.0011483693155718878,1,0
64,0.28,0,0.004128460686600222,0,0,0.004128460686600222,0.004128460686600222,1,0
64,0.29,0,0.0,0,0,0.0,0.0,1,0
128,0.05,0,1.9413793103448276,0,0,1.9413793103448276,1.9413793103448276,1,0
128,0.06,0,1.9387268993839837,0,0,1.9387268993839837,1.9387268993839837,1,0
128,0.07,0,1.93612676056338,0,0,1.93612676056338,1.93612676056338,1,0
128,0.08,0,1.9351384615384617,0,0,1.9351384615384617,1.9351384615384617,1,0
128,0.09,0,0.5010123119015047,0,0,0.5010123119015047,0.5010123119015047,1,0
128,0.1,0,1.9267487684729068,0,0,1.9267487684729068,1.9267487684729068,1,0
