road_length,density,velocity,std,std_error,ci_lower,ci_upper,n_samples,normality_p_value
16,0.1,1.5477958333333333,0.010938117128753871,0.002187623425750774,1.5432808004915424,1.5523108661751241,25,0.0005818290784347117
16,0.2,1.0589927083333333,0.02693826616729658,0.005387653233459315,1.047873138574246,1.0701122780924206,25,0.00010162424673134041
16,0.3,0.05435347222222222,0.05917497184886837,0.011834994369773675,0.029927244365570604,0.07877970007887383,25,7.028408533152897e-05
16,0.4,0.0,0.0,0.0,0.0,0.0,25,
16,0.5,0.0,0.0,0.0,0.0,0.0,25,
16,0.6,0.0,0.0,0.0,0.0,0.0,25,
16,0.7,0.0,0.0,0.0,0.0,0.0,25,
16,0.8,0.0,0.0,0.0,0.0,0.0,25,
16,0.9,0.0,0.0,0.0,0.0,0.0,25,
