max_speed,density,velocity,std,std_error,ci_lower,ci_upper,n_samples,normality_p_value
1,0.1,0.925338864764268,0.006569006303741598,0.0029377489279581686,0.9171823661329385,0.9334953633955975,5,0.9766093768803911
1,0.2,0.631418992248062,0.006146146103239059,0.002748640097297595,0.6237875439039696,0.6390504405921543,5,0.41448201247961564
1,0.3,0.43525785448532445,0.004927092537106423,0.002203462768880373,0.42914006106618097,0.4413756479044679,5,0.9169407920012075
1,0.4,0.3271351340877383,0.003215283234456508,0.001437918375832029,0.3231428326514855,0.3311274355239911,5,0.7463289116343372
1,0.5,0.2591122581845238,0.0012780323547830577,0.0005715534445478091,0.25752537142105014,0.2606991449479975,5,0.858300550302414
1,0.6,0.21738825444398513,0.00347436571017152,0.0015537835813275703,0.21307425962507148,0.22170224926289878,5,0.4489008928317413
1,0.7,0.18686996190982372,0.0012758272163929751,0.0005705672766798053,0.18528581318730003,0.1884541106323474,5,0.5994918186715346
1,0.8,0.16144299333436676,0.0011511068184474945,0.0005147906190824213,0.16001370543981364,0.1628722812289199,5,0.17631618976835706
1,0.9,0.1219354116431278,0.0016292209112281244,0.0007286097415740472,0.1199124666925351,0.1239583565937205,5,0.3224429067967183
3,0.1,1.427292959057072,0.013705609568957916,0.006129334933852298,1.4102751970818599,1.444310721032284,5,0.3122973063820893
3,0.2,0.8741244186046512,0.005027239065753836,0.0022482496580336223,0.8678822768463411,0.8803665603629612,5,0.8617409254421422
3,0.3,0.6722367197188921,0.007134331873771501,0.0031905702087593048,0.6633782766799924,0.6810951627577918,5,0.4702381569583047
3,0.4,0.5681105642536041,0.008625305470201376,0.0038573538716142122,0.557400832977745,0.5788202955294631,5,0.414849114278105
3,0.5,0.5098738219246032,0.00622484080561781,0.0027838334380951954,0.5021446612017179,0.5176029826474885,5,0.6944741624210762
3,0.6,0.47312642104175273,0.004307298807087883,0.0019262825864104517,0.4677782031834857,0.4784746389000198,5,0.09293089759796627
3,0.7,0.44433762955089023,0.004035753371228612,0.0018048437756982237,0.4393265798842062,0.44934867921757427,5,0.9657263360941238
3,0.8,0.41900819640365833,0.00210952987484095,0.0009434104401421974,0.416388869104933,0.42162752370238366,5,0.4196045036194637
3,0.9,0.33809610747502583,0.004660405736175355,0.002084196805763609,0.3323094494553946,0.34388276549465707,5,0.3230857348796059
5,0.1,1.705325682382134,0.020742862127791244,0.00927648995312943,1.6795700172583512,1.7310813475059166,5,0.146831755313925
5,0.2,1.1355011627906977,0.014461643484185556,0.006467443579401161,1.1175446607215265,1.153457664859869,5,0.07207737987168848
5,0.3,0.9320003100454735,0.010257711845544746,0.004587388196048575,0.9192636785429122,0.9447369415480347,5,0.41520682121210567
5,0.4,0.8315491784219502,0.01164261807677926,0.005206737091149258,0.817092958711177,0.8460053981327234,5,0.45678970166739874
5,0.5,0.7747558593750001,0.008442735002786535,0.0037757058764495135,0.7642728192756654,0.7852388994743349,5,0.41846079895243316
5,0.6,0.7341757957833815,0.007308194321230528,0.003268323859009879,0.7251014740028324,0.7432501175639307,5,0.5296244158389449
5,0.7,0.7052509079635042,0.008278140979847417,0.003702097191653108,0.6949722383367725,0.7155295775902359,5,0.896444887319149
5,0.8,0.6782230468144473,0.004969966419445361,0.002222636551954212,0.6720520184391403,0.6843940751897544,5,0.4512598862326347
5,0.9,0.5542543058904581,0.007866835897310402,0.0035181559668443227,0.5444863389769907,0.5640222728039255,5,0.33389565134198124
