road_length,density,velocity,std,std_error,ci_lower,ci_upper,n_samples
32,0.05,1.763782230941704,0,0,1.763782230941704,1.763782230941704,1
32,0.1,1.6568242296918765,0,0,1.6568242296918765,1.6568242296918765,1
32,0.15,1.1156086631814788,0,0,1.1156086631814788,1.1156086631814788,1
32,0.2,0.7399415429851582,0,0,0.7399415429851582,0.7399415429851582,1
32,0.25,0.4189418122759857,0,0,0.4189418122759857,0.4189418122759857,1
32,0.3,0.18917452389843167,0,0,0.18917452389843167,0.18917452389843167,1
32,0.35,0.11139282285165626,0,0,0.11139282285165626,0.11139282285165626,1
32,0.4,0.07079161999439934,0,0,0.07079161999439934,0.07079161999439934,1
32,0.45,0.05948506533914126,0,0,0.05948506533914126,0.05948506533914126,1
32,0.5,0.10009380600358422,0,0,0.10009380600358422,0.10009380600358422,1
32,0.55,0.061890911405295325,0,0,0.061890911405295325,0.061890911405295325,1
32,0.6,0.043873098105105944,0,0,0.043873098105105944,0.043873098105105944,1
32,0.65,0.04090233499913838,0,0,0.04090233499913838,0.04090233499913838,1
32,0.7,0.05295773661892951,0,0,0.05295773661892951,0.05295773661892951,1
32,0.75,0.03684522476105138,0,0,0.03684522476105138,0.03684522476105138,1
32,0.8,0.02937990058807057,0,0,0.02937990058807057,0.02937990058807057,1
32,0.85,0.027043799828688143,0,0,0.027043799828688143,0.027043799828688143,1
32,0.9,0.02592408214063472,0,0,0.02592408214063472,0.02592408214063472,1
64,0.05,1.8780241935483868,0,0,1.8780241935483868,1.8780241935483868,1
64,0.1,1.6729489764267993,0,0,1.6729489764267993,1.6729489764267993,1
64,0.15,1.166636523356759,0,0,1.166636523356759,1.166636523356759,1
64,0.2,0.8108701550387597,0,0,0.8108701550387597,0.8108701550387597,1
64,0.25,0.5904823908730158,0,0,0.5904823908730158,0.5904823908730158,1
64,0.3,0.23034828441504757,0,0,0.23034828441504757,0.23034828441504757,1
64,0.35,0.12355488128986533,0,0,0.12355488128986533,0.12355488128986533,1
64,0.4,0.06601883428925748,0,0,0.06601883428925748,0.06601883428925748,1
64,0.45,0.1026775871572275,0,0,0.1026775871572275,0.1026775871572275,1
64,0.5,0.15971137152777778,0,0,0.15971137152777778,0.15971137152777778,1
64,0.55,0.1881630496054115,0,0,0.1881630496054115,0.1881630496054115,1
64,0.6,0.1855111874741629,0,0,0.1855111874741629,0.1855111874741629,1
64,0.65,0.17273740818467995,0,0,0.17273740818467995,0.17273740818467995,1
64,0.7,0.12327708388696963,0,0,0.12327708388696963,0.12327708388696963,1
64,0.75,0.12168330439814815,0,0,0.12168330439814815,0.12168330439814815,1
64,0.8,0.08194998837389553,0,0,0.08194998837389553,0.08194998837389553,1
64,0.85,0.05963944412022176,0,0,0.05963944412022176,0.05963944412022176,1
64,0.9,0.02168489493627282,0,0,0.02168489493627282,0.02168489493627282,1
128,0.05,1.9256038461538458,0,0,1.9256038461538458,1.9256038461538458,1
128,0.1,1.67110696708705,0,0,1.67110696708705,1.67110696708705,1
128,0.15,1.0654763125512716,0,0,1.0654763125512716,1.0654763125512716,1
128,0.2,0.7937711473392801,0,0,0.7937711473392801,0.7937711473392801,1
128,0.25,0.6232929379921259,0,0,0.6232929379921259,0.6232929379921259,1
128,0.3,0.5252403106736389,0,0,0.5252403106736389,0.5252403106736389,1
128,0.35,0.4912865805431057,0,0,0.4912865805431057,0.4912865805431057,1
128,0.4,0.44056540295293756,0,0,0.44056540295293756,0.44056540295293756,1
128,0.45,0.4047957963089542,0,0,0.4047957963089542,0.4047957963089542,1
128,0.5,0.35439068651574807,0,0,0.35439068651574807,0.35439068651574807,1
128,0.55,0.31582895251943405,0,0,0.31582895251943405,0.31582895251943405,1
128,0.6,0.3002656097811042,0,0,0.3002656097811042,0.3002656097811042,1
128,0.65,0.28514249716070417,0,0,0.28514249716070417,0.28514249716070417,1
128,0.7,0.26740129844450305,0,0,0.26740129844450305,0.26740129844450305,1
128,0.75,0.24305410310039371,0,0,0.24305410310039371,0.24305410310039371,1
128,0.8,0.2138560209927333,0,0,0.2138560209927333,0.2138560209927333,1
128,0.85,0.16116473674687898,0,0,0.16116473674687898,0.16116473674687898,1
128,0.9,0.06911718215994532,0,0,0.06911718215994532,0.06911718215994532,1
