road_length,density,velocity,std,std_error,ci_lower,ci_upper,n_samples,normality_p_value
64,0.1,1.2751201923076922,0.009136527850901782,0.004085979470587289,1.2637756946066414,1.286464690008743,5,0.8348246491039994
64,0.2,0.7503790697674418,0.009327378106832401,0.004171330299744109,0.7387976001745541,0.7619605393603296,5,0.11826932879627744
64,0.3,0.5459572653989252,0.006411976212029491,0.0028675229360419093,0.5379957453791092,0.5539187854187412,5,0.27040345878428274
64,0.4,0.44310862656952416,0.0054836907080538285,0.0024523810381584625,0.4362997252400492,0.44991752789899914,5,0.12963159409553512
64,0.5,0.38200551835317464,0.005231652721074281,0.0023396662237987675,0.37550956351831194,0.38850147318803735,5,0.8866400553001172
64,0.6,0.3438643292682927,0.00256534957839146,0.0011472592086667459,0.34067902705399683,0.34704963148258855,5,0.1609266052528277
64,0.7,0.315086588714678,0.0035497520493655106,0.001587497377130094,0.31067898939243077,0.3194941880369252,5,0.4040784198086488
64,0.8,0.2896238955200744,0.0019375429145602637,0.0008664955332559633,0.2872181182380901,0.29202967280205866,5,0.20691914048769458
64,0.9,0.23028418877023774,0.003406334409641771,0.001523359058811123,0.22605466596794288,0.2345137115725326,5,0.5811401036481285
128,0.1,1.2979829283297446,0.010537392800839302,0.004712465321658716,1.2848990270540108,1.3110668296054784,5,0.8125558035057939
128,0.2,0.7450570978160566,0.0029194355718250814,0.0013056112789063704,0.741432139771446,0.7486820558606672,5,0.240728672375581
128,0.3,0.5368343073925972,0.003076015919797109,0.0013756361393075752,0.5330149291670835,0.5406536856181109,5,0.5763561461008221
128,0.4,0.43736936711780994,0.0036350846848723995,0.0016256592918686172,0.432855813334182,0.4418829209014379,5,0.27487444802894745
128,0.5,0.3782427257627953,0.005339101995863945,0.002387719000311316,0.37161335503179316,0.3848720964937974,5,0.16486534277483347
128,0.6,0.3382996488440047,0.005597259392367327,0.002503170497806502,0.3313497333678943,0.3452495643201151,5,0.5304760059877166
128,0.7,0.3156136303717374,0.004075173327823796,0.0018224729162216087,0.31055363436413835,0.32067362637933644,5,0.39884766195541005
128,0.8,0.29153369987312083,0.003999779557001603,0.0017887557968939158,0.28656731759644055,0.2965000821498011,5,0.6009642230860721
128,0.9,0.25430134996582365,0.0032041592678393564,0.0014329435867249513,0.25032286075843657,0.25827983917321073,5,0.9702073300707655
256,0.1,1.3881378293504902,0.008990431975172944,0.0040206434087148805,1.376974733638618,1.3993009250623625,5,0.825154302317423
256,0.2,0.8870266544117648,0.007922527967713209,0.0035430622178899986,0.8771895366594928,0.8968637721640367,5,0.47266774742952045
256,0.3,0.6738369332107844,0.004045545536593003,0.0018092229651785635,0.668813724964903,0.6788601414566658,5,0.645233463964294
256,0.4,0.531310795802696,0.0018131133770258843,0.0008108489523888165,0.5290595181977813,0.5335620734076107,5,0.7870717401822447
256,0.5,0.44681828278186275,0.004076022908225572,0.0018228528601277531,0.44175723188086524,0.45187933368286026,5,0.14957340885310155
256,0.6,0.41548007940155224,0.0024603518655302915,0.0011003028039788306,0.4124251490672098,0.4185350097358947,5,0.13322263157246686
256,0.7,0.38834123883928573,0.002293913146921751,0.0010258691461994996,0.3854929694697467,0.39118950820882475,5,0.14315310951452315
256,0.8,0.34852294921875,0.0022276969541342975,0.000996256364542704,0.34575689811189325,0.3512890003256067,5,0.6526066415241856
256,0.9,0.27753706256808275,0.0022378286845889076,0.0010007874121479466,0.274758431256281,0.2803156938798845,5,0.6767352659488757
