blocks_size,density,velocity
32,0.05,0.9772757847533632
32,0.06,0.9737535014005602
32,0.07,0.9653482786228984
32,0.08,0.9563305322128851
32,0.09,0.9465774735532048
32,0.1,0.9398543417366946
32,0.11,0.9274389002036659
32,0.12,0.9177450980392158
32,0.13,0.8980137871607069
32,0.14,0.8867466986794718
32,0.15,0.8696265870052278
32,0.16,0.854254201680672
32,0.17,0.8413476112026362
32,0.18,0.8222277535780959
32,0.19,0.802057783018868
32,0.2,0.7836152338280594
32,0.21,0.7641371032275275
32,0.22,0.7401069246435844
32,0.23,0.7254919629810034
32,0.24,0.6989404900816806
32,0.25,0.6832302867383513
32,0.26,0.675196036191297
32,0.27,0.6478801078614396
32,0.28,0.6359391878375675
32,0.29,0.6162726921591348
32,0.3,0.6031161314413742
32,0.31,0.5874579945799457
32,0.32,0.5658008051811657
32,0.33,0.5599134419551934
32,0.34,0.5415648163399769
32,0.35,0.5305424867978876
32,0.36,0.5270675171126322
32,0.37,0.5079291553133516
32,0.38,0.5003198231392778
32,0.39,0.4897113313227058
32,0.4,0.4770638476617194
32,0.41,0.4683893442622952
32,0.42,0.4550713428457127
32,0.43,0.4471450898671529
32,0.44,0.435176934826884
32,0.45,0.427758556316117
32,0.46,0.4219773529769878
32,0.47,0.41239275500476635
32,0.48,0.40405484247374557
32,0.49,0.3925168590696079
32,0.5,0.39203405017921156
32,0.51,0.3836668130902702
32,0.52,0.37789768443726446
32,0.53,0.367139384973053
32,0.54,0.3628635137938187
32,0.55,0.3513065173116089
32,0.56,0.3465986598659866
32,0.57,0.33851920998329577
32,0.58,0.33587195828505206
32,0.59,0.3307698149027052
32,0.6,0.3214785774292915
32,0.61,0.3163046272493573
32,0.62,0.31281842818428185
32,0.63,0.3076264556849498
32,0.64,0.29984510370175904
32,0.65,0.2957849388247458
32,0.66,0.2896486761710794
32,0.67,0.28325587227284127
32,0.68,0.27794679624444085
32,0.69,0.2727451298701299
32,0.7,0.26946955756460517
32,0.71,0.26044884436380844
32,0.72,0.2578329184816428
32,0.73,0.24938928955040665
32,0.74,0.24235071520472265
32,0.75,0.23930779569892477
32,0.76,0.23404126750184226
32,0.77,0.22779474870899705
32,0.78,0.22046528326272705
32,0.79,0.21592797391181054
32,0.8,0.21109703164379728
32,0.81,0.19983475074327597
32,0.82,0.19364046171709579
32,0.83,0.18722941970310392
32,0.84,0.18083405560370688
32,0.85,0.16911247282071554
32,0.86,0.16137405574368327
32,0.87,0.15532573709282863
32,0.88,0.14538407687901736
32,0.89,0.1309269397772324
32,0.9,0.12213316739265713
32,0.91,0.11384724273756769
32,0.92,0.10108358190783466
32,0.93,0.08877453932313621
32,0.94,0.07490526692087703
64,0.05,0.9886476426799007
64,0.06,0.9828852119958633
64,0.07,0.978031914893617
64,0.08,0.9756976744186047
64,0.09,0.9668297725706408
64,0.1,0.9570037220843672
64,0.11,0.9493010146561442
64,0.12,0.9431731266149871
64,0.13,0.936078244274809
64,0.14,0.9182720425343375
64,0.15,0.9185944605208765
64,0.16,0.883794573643411
64,0.17,0.8771068952936883
64,0.18,0.8611367550809506
64,0.19,0.8337826370757181
64,0.2,0.8249550387596899
64,0.21,0.8032959243945658
64,0.22,0.781316234498309
64,0.23,0.770390940954435
64,0.24,0.7459173126614986
64,0.25,0.7348214285714285
64,0.26,0.7167064154543287
64,0.27,0.6928387689480938
64,0.28,0.6883543743078627
64,0.29,0.6675219157579646
64,0.3,0.6638714344770565
64,0.31,0.6474614922984597
64,0.32,0.622891472868217
64,0.33,0.6138105975197294
64,0.34,0.5974703629399964
64,0.35,0.5881041814316087
64,0.36,0.5809955218739236
64,0.37,0.5655538796715267
64,0.38,0.5575261096605744
64,0.39,0.529772618858324
64,0.4,0.5404572934428772
64,0.41,0.5198532970356928
64,0.42,0.5206954082385944
64,0.43,0.5044686373467916
64,0.44,0.49402903043968427
64,0.45,0.48320655918423583
64,0.46,0.47674170935562143
64,0.47,0.47076781002638524
64,0.48,0.45715669810102055
64,0.49,0.45440268286509733
64,0.5,0.4466592261904762
64,0.51,0.4374334346504559
64,0.52,0.4346064870021463
64,0.53,0.4221258921258921
64,0.54,0.41461821104604435
64,0.55,0.4056888387824127
64,0.56,0.3990942309821726
64,0.57,0.39423411662315055
64,0.58,0.38791426127859746
64,0.59,0.3829164477141356
64,0.6,0.3755033071517156
64,0.61,0.361446432201667
64,0.62,0.35552855285528556
64,0.63,0.35063779527559064
64,0.64,0.3444113942447437
64,0.65,0.33634360393017265
64,0.66,0.332477452085682
64,0.67,0.32298287829708466
64,0.68,0.31773593507796116
64,0.69,0.3120318116462977
64,0.7,0.30875276818141556
64,0.71,0.2974873362445415
64,0.72,0.29042886668963147
64,0.73,0.2902225431071095
64,0.74,0.2797134238310709
64,0.75,0.2763425925925926
64,0.76,0.26556661499551276
64,0.77,0.25879690771460784
64,0.78,0.2537896494156929
64,0.79,0.2471156110195432
64,0.8,0.2463501782669353
64,0.81,0.23348312026333917
64,0.82,0.22349667271627346
64,0.83,0.21846780218138356
64,0.84,0.21121060013287077
64,0.85,0.19675882696235777
64,0.86,0.1927296322999279
64,0.87,0.185113676858385
64,0.88,0.1748562570462232
64,0.89,0.16227408904061869
64,0.9,0.15143162245952463
64,0.91,0.1383272008721722
64,0.92,0.12527667318191008
64,0.93,0.10893326221748117
64,0.94,0.09567546174142481
128,0.05,0.993156923076923
128,0.06,0.991774358974359
128,0.07,0.9892615384615385
128,0.08,0.984980769230769
128,0.09,0.982012987012987
128,0.1,0.9783082128575823
128,0.11,0.9747511185682326
128,0.12,0.9690874134837222
128,0.13,0.9630832938949362
128,0.14,0.9525005493298176
128,0.15,0.9433941755537325
128,0.16,0.9279061718900212
128,0.17,0.9220861226705266
128,0.18,0.9095471633629529
