speed_percentage,density,rotary_method,velocity,std,std_error,ci_lower,ci_upper,n_samples,n_gridlocked,normality_p_value
50,0.05,0,1.0267216501240695,0.029852449636889274,0.004221773914654859,1.0182376778084208,1.0352056224397181,50,0,0.0025270498363586876
50,0.15,0,0.6825720416439143,0.3616655936930383,0.0511472387644412,0.5797878171753565,0.785356266112472,50,5,8.720331030875509e-07
50,0.25,0,0.04802246071938186,0.062409057577593,0.00882597356411554,0.03028600280137798,0.06575891863738574,50,16,1.063364055053039e-07
50,0.35,0,0.010052576987448382,0.014964110046359133,0.0021162447376404567,0.005799823966981057,0.014305330007915708,50,43,1.459792631474133e-08
50,0.45,0,0.0016613581010877553,0.0021171769866708203,0.00029941404084940753,0.0010596630589479834,0.002263053143227527,50,50,2.191007092439886e-08
50,0.55,0,0.000398183395619933,0.0007142049431496888,0.00010100383169161953,0.0001952085965972849,0.0006011581946425811,50,50,6.470230230965117e-10
75,0.05,0,1.114377729528536,0.046829264527383084,0.006622658101058244,1.1010689998046759,1.127686459252396,50,0,0.6765104631087966
75,0.15,0,0.6943326201830123,0.3765804400656706,0.05325651656652998,0.5873096432751506,0.8013555970908741,50,5,5.082595069561941e-07
75,0.25,0,0.08814432032898928,0.12461974277694612,0.017623893037460377,0.052727781299094494,0.12356085935888406,50,14,1.6538536729708453e-08
75,0.35,0,0.00589875088328872,0.011836141245696747,0.0016738831475827918,0.002534956760058394,0.009262545006519046,50,48,5.575174463914e-11
75,0.45,0,0.0045031088760991295,0.0051580786470090565,0.0007294624778387272,0.003037199144219487,0.005969018607978772,50,48,6.693505141829698e-07
75,0.55,0,0.0003557067069772699,0.0009402297843880682,0.0001329685712828737,8.849635881075284e-05,0.0006229170551437871,50,50,7.15133225571724e-13
100,0.05,0,1.8738875930521093,0.03202308371719599,0.00452874793018676,1.8647867333564057,1.882988452747813,50,0,3.023574040178395e-15
100,0.15,0,1.0564666676140881,0.6206997266067544,0.08778019715285443,0.8800657571053894,1.232867578122787,50,9,8.717452072561743e-10
100,0.25,0,0.18446095012990102,0.19071943668619312,0.02697180139697711,0.130259085941768,0.23866281431803404,50,14,3.523560201790582e-06
100,0.35,0,0.009107470831655548,0.011824415265798133,0.0016722248436023186,0.005747009195040013,0.012467932468271083,50,44,1.3639303391686188e-07
100,0.45,0,0.0010881662692307722,0.0015787434244127585,0.0002232680362311866,0.0006394923523781058,0.0015368401860834386,50,50,1.3464381799038318e-08
100,0.55,0,0.0007349596131773585,0.0008365536465029898,0.0001183065512537196,0.0004972136973877225,0.0009727055289669945,50,50,3.235702629926325e-06
