speed_percentage,density,rotary_method,velocity,std,std_error,ci_lower,ci_upper,n_samples,n_gridlocked,normality_p_value
50,0.05,0,0.06245231278233761,0.03405665652750846,0.015230599816374169,0.020165388472939055,0.10473923709173616,5,1,0.07296265209593945
50,0.15,0,0.0,0.0,0.0,0.0,0.0,5,5,
75,0.05,0,0.09436724565756824,0.026935734542046744,0.012046026691981137,0.06092211381153518,0.1278123775036013,5,0,0.6860737346666712
75,0.15,0,0.0001072368501835715,0.00023978888670342667,0.0001072368501835715,-0.00019050037760543525,0.00040497407797257827,5,5,0.00013097817774592862
100,0.05,0,0.11816004962779156,0.019138688984969166,0.0085590819141235,0.09439622854233636,0.14192387071324675,5,0,0.7458305464320814
100,0.15,0,0.0,0.0,0.0,0.0,0.0,5,5,
