speed_percentage,density,velocity,std,std_error,ci_lower,ci_upper,n_samples,normality_p_value
50,0.05,1.2314975384615385,0.03333238013084839,0.006666476026169678,1.2177386081799992,1.2452564687430778,25,0.19037079876581853
75,0.05,1.392612769230769,0.04280958502968933,0.008561917005937867,1.3749418410374354,1.4102836974241026,25,0.9759846055287872
100,0.05,1.911199846153846,0.04395872657236449,0.0087917453144729,1.8930545756451054,1.9293451166625866,25,2.2445637979380387e-07
50,0.1,1.0318531990156874,0.06795988178445694,0.013591976356891388,1.0038007385630172,1.0599056594683576,25,1.806000548116082e-05
75,0.1,1.109590741310366,0.10835193623072042,0.021670387246144084,1.064865260243127,1.1543162223776051,25,0.33928950581758793
100,0.1,1.6923021378037526,0.2666542614010181,0.05333085228020362,1.5822326684922439,1.8023716071152613,25,1.587563305013825e-05
50,0.15,0.824255691140279,0.17409674457408342,0.03481934891481668,0.7523920869981646,0.8961192952823933,25,0.018090230702295644
75,0.15,0.7861129511894996,0.24303979304619647,0.04860795860923929,0.6857910553322163,0.886434847046783,25,0.014481265370325335
100,0.15,0.8755006152584086,0.417659538551172,0.0835319077102344,0.7030992310852112,1.047901999431606,25,0.00016507571042454906
50,0.2,0.565291487234697,0.2583582005101728,0.05167164010203455,0.45864646355114713,0.6719365109182469,25,0.04514418855571514
75,0.2,0.3943517763764996,0.14594228349792332,0.029188456699584663,0.33410976257808506,0.45459379017491414,25,0.1235146509791451
100,0.2,0.42890618271301134,0.2796307556083272,0.055926151121665435,0.3134802798556147,0.5443320855704079,25,0.0014148550566532125
50,0.25,0.24506496062992128,0.0654331556356311,0.013086631127126219,0.218055481470089,0.27207443978975354,25,0.5388934543427121
75,0.25,0.22903269562007875,0.07750908660395471,0.015501817320790942,0.197038517149078,0.2610268740910795,25,0.0016020231771517077
100,0.25,0.1909171690452756,0.06394655023185533,0.012789310046371067,0.16452133043635553,0.21731300765419564,25,0.8801771598905856
50,0.3,0.22268635291705116,0.0772018490851851,0.01544036981703702,0.19081899586066375,0.25455370997343857,25,0.1418578187161234
75,0.3,0.18850007689941556,0.07846653651480683,0.015693307302961364,0.15611068252964708,0.22088947126918404,25,0.24277089584925735
100,0.3,0.09314754434532965,0.03659399617825927,0.007318799235651855,0.07804228513002354,0.10825280356063577,25,0.0031574612395578825
50,0.35,0.1883590825204324,0.10013139085003253,0.020026278170006507,0.14702687581059334,0.22969128923027146,25,0.001981561298079226
75,0.35,0.15310932419369014,0.06544839446821078,0.013089678893642157,0.12609355475292944,0.18012509363445084,25,0.056214685275961365
100,0.35,0.11576507162316549,0.064639944322727,0.0129279888645454,0.08908301400088717,0.1424471292454438,25,0.0286538047145736
50,0.4,0.09550801676407261,0.03414664216347972,0.006829328432695944,0.08141297563494611,0.10960305789319912,25,4.263521212136499e-06
75,0.4,0.0659059327899108,0.022432672960252913,0.0044865345920505825,0.056646180498683245,0.07516568508113836,25,0.09578812150726285
100,0.4,0.05533495462934482,0.059857054994454144,0.01197141099889083,0.030627176688076165,0.08004273257061348,25,4.9611018240150496e-05
50,0.45,0.10151725905673276,0.050027521036232835,0.010005504207246567,0.08086691331503346,0.12216760479843206,25,0.026225978776325442
75,0.45,0.06751291866028708,0.028772235143873344,0.005754447028774669,0.0556363237146344,0.07938951360593977,25,0.22788245962895473
100,0.45,0.062102272727272735,0.05458568762589389,0.01091713752517878,0.03957040829196096,0.08463413716258451,25,0.0038270645235271594
50,0.5,0.07015712659940944,0.03486834270197216,0.006973668540394431,0.05576418212961879,0.08455007106920008,25,0.0039530198146554354
75,0.5,0.08354438361220472,0.05369589232456212,0.010739178464912425,0.06137980862540535,0.10570895859900409,25,0.0007169537947111605
100,0.5,0.049035925196850384,0.04374061268329809,0.008748122536659618,0.030980687676492924,0.06709116271720784,25,0.0008488223215128394
50,0.55,0.07869038364744702,0.04923548547280326,0.009847097094560652,0.05836697411777182,0.09901379317712221,25,0.0061030447161984185
75,0.55,0.04734770147083496,0.023677594284465725,0.004735518856893145,0.03757407091353083,0.05712133202813909,25,0.0008712566002948593
100,0.55,0.05228049326100329,0.03240212922808855,0.00648042584561771,0.038905551679495845,0.06565543484251074,25,0.12187040791563428
50,0.6,0.054507881786025524,0.0334395732601048,0.0066879146520209595,0.0407047043554285,0.06831105921662255,25,0.005225401519822501
75,0.6,0.037139142359153124,0.022731624062029897,0.004546324812405979,0.027755989118134643,0.046522295600171605,25,0.007651558515711741
100,0.6,0.022192982006459222,0.017770676518579318,0.0035541353037158636,0.014857607265288682,0.029528356747629762,25,0.002235700491987711
50,0.65,0.02597690706038236,0.015117490773000937,0.003023498154600187,0.01973671356801806,0.03221710055274666,25,0.003926335176142784
75,0.65,0.030522276642059434,0.02515671301184004,0.005031342602368008,0.020138095881974318,0.04090645740214455,25,0.00015016480573451786
100,0.65,0.01973708120386144,0.00946477663305361,0.0018929553266107222,0.01583021342804347,0.023643948979679412,25,0.01414627650839031
