speed_percentage,density,rotary_method,velocity,std,std_error,ci_lower,ci_upper,n_samples,n_gridlocked,normality_p_value
50,0.05,0,1.0272521091811413,0.02265683598339751,0.004531367196679502,1.017899826941706,1.0366043914205765,25,0,0.00038043075310078097
50,0.1,0,0.7363142679900746,0.277634703500777,0.0555269407001554,0.6217122949474194,0.8509162410327298,25,0,0.0003586780703867761
50,0.15,0,0.9236682926829267,0.2343321583990029,0.04686643167980058,0.8269407317503484,1.020395853615505,25,0,2.784037620186687e-09
50,0.2,0,0.5799082597489676,0.46006989956146627,0.09201397991229325,0.390000738958316,0.7698157805396193,25,4,5.540157919145582e-06
50,0.25,0,0.06029500163070454,0.039240517421988474,0.007848103484397694,0.04409731213774828,0.0764926911236608,25,6,0.05806580408040048
50,0.3,0,0.017968929105438156,0.027442567606577917,0.005488513521315583,0.00664119394331898,0.02929666426755733,25,17,2.102709808186263e-06
50,0.35,0,0.016796551521221302,0.02451188686804992,0.004902377373609984,0.0066785419112698995,0.026914561131172705,25,22,1.8647583582586934e-05
50,0.4,0,0.001786521894826225,0.0034659805401623255,0.0006931961080324651,0.000355835444531878,0.003217208345120572,25,25,3.552177631288908e-07
50,0.45,0,0.0005044054737487533,0.0005536396984471495,0.00011072793968942989,0.0002758742382917047,0.0007329367092058019,25,25,0.0003643685729273937
75,0.05,0,1.1109885856079407,0.03846765870970341,0.007693531741940682,1.0951099165119098,1.1268672547039715,25,0,0.026719374351236197
75,0.1,0,0.6861041623309053,0.3298786066793266,0.06597572133586532,0.5499369659634418,0.8222713586983689,25,1,0.0004955410709771752
75,0.15,0,0.6083856987300075,0.45513008848841546,0.09102601769768309,0.42051723173303257,0.7962541657269824,25,9,1.2947904513750337e-05
75,0.2,0,0.4845252563433814,0.45038897173671266,0.09007779434734253,0.29861382615527643,0.6704366865314864,25,3,2.127830785021806e-05
75,0.25,0,0.07186329092818218,0.15553832528296876,0.031107665056593754,0.007660225762272085,0.1360663560940923,25,5,2.600188142584186e-08
75,0.3,0,0.004385276556945938,0.003448687375419403,0.0006897374750838806,0.0029617283742193736,0.005808824739672502,25,19,1.1379789980582127e-05
75,0.35,0,0.0003199453682132531,0.0009432547239538916,0.0001886509447907783,-6.941104539020143e-05,0.0007093017818167076,25,25,3.1242560642248485e-09
100,0.05,0,1.8328117866004965,0.1305102932128931,0.02610205864257862,1.7789397853125481,1.8866837878884448,25,0,5.8455153503089644e-09
100,0.1,0,1.528836821109888,0.6686960737869714,0.13373921475739428,1.2528126481388409,1.804860994080935,25,1,8.448242203305072e-08
100,0.15,0,1.3199731707317073,0.31946063175473627,0.06389212635094725,1.1881063030566315,1.451840038406783,25,0,2.365377090690765e-07
100,0.2,0,0.9015576472188223,0.306916856619999,0.061383371323999805,0.7748685954353404,1.0282466990023043,25,1,0.00029306860061196967
100,0.25,0,0.16177349029923024,0.12219960623700905,0.02443992124740181,0.11133197199041553,0.21221500860804496,25,6,0.0004903115482047835
100,0.3,0,0.01915456471760084,0.023397437699796193,0.004679487539959238,0.00949657711472272,0.028812552320478958,25,16,0.00014787151474200612
100,0.35,0,0.00043313996026942206,0.0010293266534969567,0.00020586533069939135,8.254800349871358e-06,0.0008580251201889728,25,25,3.004752819368738e-08
