speed_percentage,density,velocity,std,std_error,ci_lower,ci_upper,n_samples,normality_p_value
50,0.1,2.1235677729528537,0.04244274768452658,0.018980973794894645,2.070868141168131,2.1762674047375765,5,0.01634275235668789
75,0.1,2.021779621588089,0.02989395892410076,0.013368984854175155,1.9846613690282509,2.058897874147927,5,0.8106063067719727
100,0.1,1.705325682382134,0.020742862127791244,0.00927648995312943,1.6795700172583512,1.7310813475059166,5,0.146831755313925
50,0.2,1.365043023255814,0.02307999467726607,0.01032168740374005,1.336385424786318,1.3937006217253098,5,0.31852552014489777
75,0.2,1.3103596899224808,0.029841398741621398,0.013345479225988425,1.2733066994489664,1.3474126803959952,5,0.29687842040409157
100,0.2,1.1355011627906977,0.014461643484185556,0.006467443579401161,1.1175446607215265,1.153457664859869,5,0.07207737987168848
50,0.3,1.006441711451013,0.00937688670872097,0.004193471219602871,0.9947987688095586,1.018084654092467,5,0.19560472854777755
75,0.3,0.9938680756510955,0.015048106053513125,0.006729717613656287,0.9751833841232961,1.012552767178895,5,0.3629508780757819
100,0.3,0.9320003100454735,0.010257711845544746,0.004587388196048575,0.9192636785429122,0.9447369415480347,5,0.41520682121210567
50,0.4,0.8053761044799256,0.012562158191216475,0.0056179679319331675,0.7897781249141516,0.8209740840456996,5,0.10475832121867147
75,0.4,0.8342175631685012,0.01173489499094341,0.0052480045817142485,0.819646766535545,0.8487883598014573,5,0.5381735848472756
100,0.4,0.8315491784219502,0.01164261807677926,0.005206737091149258,0.817092958711177,0.8460053981327234,5,0.45678970166739874
50,0.5,0.6988394407242065,0.0028314189603785163,0.0012662490536376292,0.695323769737273,0.70235511171114,5,0.2966046035628777
75,0.5,0.747443111359127,0.00938813558064285,0.004198501868060374,0.7357862013983869,0.7591000213198671,5,0.2595500016865787
100,0.5,0.7747558593750001,0.008442735002786535,0.0037757058764495135,0.7642728192756654,0.7852388994743349,5,0.41846079895243316
50,0.6,0.6304255374121538,0.006674928561495148,0.0029851188016916073,0.6221375189267632,0.6387135558975444,5,0.7928260499924934
75,0.6,0.684389081231914,0.006986723868190555,0.0031245579018588723,0.6757139177393908,0.6930642447244372,5,0.4881617216652793
100,0.6,0.7341757957833815,0.007308194321230528,0.003268323859009879,0.7251014740028324,0.7432501175639307,5,0.5296244158389449
50,0.7,0.5847918327575515,0.007453212624507451,0.003333178015831655,0.5755374469707428,0.5940462185443602,5,0.24267142179568096
75,0.7,0.6495149038887412,0.006894011340487361,0.003083095598996837,0.6409548582040496,0.6580749495734328,5,0.8129471193651643
100,0.7,0.7052509079635042,0.008278140979847417,0.003702097191653108,0.6949722383367725,0.7155295775902359,5,0.896444887319149
50,0.8,0.5484739769028059,0.006368475814917248,0.002848068967043667,0.5405664697599917,0.55638148404562,5,0.5059307764054832
75,0.8,0.6158997636025422,0.0077504665033425605,0.003466113991761813,0.6062762883760575,0.6255232388290268,5,0.27575467863057035
100,0.8,0.6782230468144473,0.004969966419445361,0.002222636551954212,0.6720520184391403,0.6843940751897544,5,0.4512598862326347
50,0.9,0.4467237340682052,0.0051952610771310035,0.00232339138586474,0.4402729654274623,0.4531745027089481,5,0.35910801872934567
75,0.9,0.4959321391663797,0.0072722237640587845,0.0032522373368049666,0.48690248073166603,0.5049617976010934,5,0.7085872422021573
100,0.9,0.5542543058904581,0.007866835897310402,0.0035181559668443227,0.5444863389769907,0.5640222728039255,5,0.33389565134198124
