max_speed,density,rotary_method,velocity,std,std_error,ci_lower,ci_upper,n_samples,n_gridlocked
1,0.05,0,1.5589583333333334,0,0,1.5589583333333334,1.5589583333333334,1,0
1,0.1,0,1.5262499999999997,0,0,1.5262499999999997,1.5262499999999997,1,0
1,0.15,0,1.2892361111111112,0,0,1.2892361111111112,1.2892361111111112,1,0
1,0.2,0,1.0289583333333332,0,0,1.0289583333333332,1.0289583333333332,1,0
1,0.25,0,0.6673333333333332,0,0,0.6673333333333332,0.6673333333333332,1,0
1,0.3,0,0.002604166666666667,0,0,0.002604166666666667,0.002604166666666667,1,0
1,0.35,0,0.0,0,0,0.0,0.0,1,0
3,0.05,0,1.5585416666666665,0,0,1.5585416666666665,1.5585416666666665,1,0
3,0.1,0,1.534375,0,0,1.534375,1.534375,1,0
3,0.15,0,1.3277777777777777,0,0,1.3277777777777777,1.3277777777777777,1,0
3,0.2,0,1.02703125,0,0,1.02703125,1.02703125,1,0
3,0.25,0,0.21954166666666666,0,0,0.21954166666666666,0.21954166666666666,1,0
3,0.3,0,0.002604166666666667,0,0,0.002604166666666667,0.002604166666666667,1,0
3,0.35,0,0.0,0,0,0.0,0.0,1,0
5,0.05,0,1.5589583333333334,0,0,1.5589583333333334,1.5589583333333334,1,0
5,0.1,0,1.5334375,0,0,1.5334375,1.5334375,1,0
5,0.15,0,1.29,0,0,1.29,1.29,1,0
5,0.2,0,1.07890625,0,0,1.07890625,1.07890625,1,0
5,0.25,0,0.7151249999999999,0,0,0.7151249999999999,0.7151249999999999,1,0
5,0.3,0,0.11645833333333334,0,0,0.11645833333333334,0.11645833333333334,1,0
5,0.35,0,0.0,0,0,0.0,0.0,1,0
