max_speed,density,rotary_method,velocity,std,std_error,ci_lower,ci_upper,n_samples,n_gridlocked,normality_p_value
1,0.05,0,0.11816004962779156,0.019138688984969166,0.0085590819141235,0.09439622854233636,0.14192387071324675,5,0,0.7458305464320814
1,0.15,0,0.0,0.0,0.0,0.0,0.0,5,5,
3,0.05,0,0.11816004962779156,0.019138688984969166,0.0085590819141235,0.09439622854233636,0.14192387071324675,5,0,0.7458305464320814
3,0.15,0,0.0,0.0,0.0,0.0,0.0,5,5,
5,0.05,0,0.11816004962779156,0.019138688984969166,0.0085590819141235,0.09439622854233636,0.14192387071324675,5,0,0.7458305464320814
5,0.15,0,0.0,0.0,0.0,0.0,0.0,5,5,
