max_speed,density,velocity,std,std_error,ci_lower,ci_upper,n_samples
1,0.1,1.724408890290038,0,0,1.724408890290038,1.724408890290038,1
1,0.2,1.06088531821046,0,0,1.06088531821046,1.06088531821046,1
1,0.3,0.024737394957983196,0,0,0.024737394957983196,0.024737394957983196,1
1,0.4,0.00129174543163201,0,0,0.00129174543163201,0.00129174543163201,1
1,0.5,0.0008852066532258065,0,0,0.0008852066532258065,0.0008852066532258065,1
1,0.6,0.0007377651753833228,0,0,0.0007377651753833228,0.0007377651753833228,1
1,0.7,0.0011802430243024302,0,0,0.0011802430243024302,0.0011802430243024302,1
1,0.8,0.0010318210459987396,0,0,0.0010318210459987396,0.0010318210459987396,1
1,0.9,0.0009967446093531221,0,0,0.0009967446093531221,0.0009967446093531221,1
3,0.1,1.724408890290038,0,0,1.724408890290038,1.724408890290038,1
3,0.2,1.1082073093887839,0,0,1.1082073093887839,1.1082073093887839,1
3,0.3,0.026559873949579833,0,0,0.026559873949579833,0.026559873949579833,1
3,0.4,0.00039776307498424704,0,0,0.00039776307498424704,0.00039776307498424704,1
3,0.5,0.0012144027217741934,0,0,0.0012144027217741934,0.0012144027217741934,1
3,0.6,0.0012681159420289856,0,0,0.0012681159420289856,0.0012681159420289856,1
3,0.7,0.0,0,0,0.0,0.0,1
3,0.8,0.0006714713295526149,0,0,0.0006714713295526149,0.0006714713295526149,1
3,0.9,0.0007350882105852702,0,0,0.0007350882105852702,0.0007350882105852702,1
5,0.1,0.5990305800756621,0,0,0.5990305800756621,0.5990305800756621,1
5,0.2,1.0728497164461248,0,0,1.0728497164461248,1.0728497164461248,1
5,0.3,0.02245798319327731,0,0,0.02245798319327731,0.02245798319327731,1
5,0.4,0.0006596565847511027,0,0,0.0006596565847511027,0.0006596565847511027,1
5,0.5,0.003096648185483871,0,0,0.003096648185483871,0.003096648185483871,1
5,0.6,0.0010790800252047888,0,0,0.0010790800252047888,0.0010790800252047888,1
5,0.7,0.0007425742574257426,0,0,0.0007425742574257426,0.0007425742574257426,1
5,0.8,0.0009245037807183365,0,0,0.0009245037807183365,0.0009245037807183365,1
5,0.9,0.0006712055446653599,0,0,0.0006712055446653599,0.0006712055446653599,1
