max_speed,density,velocity,std,std_error,ci_lower,ci_upper,n_samples,normality_p_value
1,0.1,1.7393540353089534,0.009749732191298908,0.0019499464382597815,1.7353295436597773,1.7433785269581294,25,0.20908279913722727
1,0.2,0.9303999684940139,0.26629613661075835,0.05325922732215167,0.8204783258304053,1.0403216111576226,25,9.18716390951397e-06
1,0.3,0.02319170168067227,0.008267031361788916,0.001653406272357783,0.019779238853366295,0.026604164507978246,25,0.5746150375867647
1,0.4,0.0015655324511657214,0.000264690058630563,5.29380117261126e-05,0.0014562737649087504,0.0016747911374226925,25,0.6946924678925217
1,0.5,0.0011314264112903226,0.0009100574252133071,0.0001820114850426614,0.0007557731691109936,0.0015070796534696516,25,3.5996089721759204e-06
1,0.6,0.0008840579710144927,0.0004671826764884607,9.343653529769214e-05,0.0006912144402100801,0.0010769015018189053,25,0.16005125689811273
1,0.7,0.0006931593159315932,0.0004435657582578641,8.871315165157281e-05,0.0005100643698404237,0.0008762542620227628,25,0.022923317771214157
1,0.8,0.0006791509136735979,0.0003601714558601311,7.203429117202622e-05,0.000530479443735759,0.0008278223836114369,25,0.11941853826158348
1,0.9,0.0005385746289554747,0.0002725241589960246,5.450483179920492e-05,0.0004260821850033185,0.000651067072907631,25,0.014403974266125635
3,0.1,1.7263814627994956,0.06727682156912254,0.013455364313824509,1.698610955746012,1.754151969852979,25,7.848825352548323e-10
3,0.2,0.880392879647133,0.37791242679820425,0.07558248535964085,0.7243982968290993,1.0363874624651668,25,3.4451204037093356e-07
3,0.3,0.024211764705882346,0.010431403015226466,0.002086280603045293,0.019905893170104723,0.02851763624165997,25,0.004199478490831155
3,0.4,0.0014373818525519847,0.0002296278498215501,4.592556996431002e-05,0.0013425961347606982,0.0015321675703432712,25,0.6442460726473298
3,0.5,0.001116242439516129,0.0009599127821667609,0.0001919825564333522,0.000720009917435663,0.0015124749615965949,25,8.982669402103629e-08
3,0.6,0.0009318420499894979,0.0005785589291210562,0.00011571178582421123,0.0006930246616634987,0.001170659438315497,25,1.455784368779133e-05
3,0.7,0.0007279027902790279,0.00024502655908860497,4.900531181772099e-05,0.0006267607977063008,0.0008290447828517549,25,0.6714549914868044
3,0.8,0.0006638705103969756,0.00032909254270643205,6.58185085412864e-05,0.0005280277852901129,0.0007997132355038382,25,0.02950828127102674
3,0.9,0.0005366493979277513,0.00032866177029420397,6.57323540588408e-05,0.000400984486933286,0.0006723143089222166,25,0.03152661357201292
5,0.1,1.7376633039092055,0.014599105333650794,0.0029198210667301587,1.73163708940937,1.743689518409041,25,0.010622503086572076
5,0.2,1.0645954631379964,0.01401107631519477,0.002802215263038954,1.0588119750872382,1.0703789511887545,25,0.05336862554423585
5,0.3,0.02447909663865546,0.013218912150154354,0.0026437824300308706,0.019022597884057312,0.02993559539325361,25,0.000720603815410456
5,0.4,0.0023676748582230622,0.0029715251056165416,0.0005943050211233083,0.0011410895799583555,0.003594260136487769,25,6.318022827489634e-09
5,0.5,0.0008842615927419355,0.00033109977716688343,6.621995543337669e-05,0.0007475903219719177,0.0010209328635119534,25,0.6077117892643189
5,0.6,0.0008034551564797311,0.00039650909065087734,7.930181813017547e-05,0.0006397842481063751,0.0009671260648530871,25,0.05223958818520433
5,0.7,0.000831053105310531,0.00020182207260660751,4.0364414521321506e-05,0.0007477450482390183,0.0009143611623820437,25,0.874403624292849
5,0.8,0.0008041115311909262,0.0002422340378184559,4.844680756369118e-05,0.0007041222347447545,0.000904100827637098,25,0.13586601764095338
5,0.9,0.0006237398487818538,0.00034260550122454516,6.852110024490903e-05,0.0004823192485452167,0.000765160449018491,25,0.2807565024626182
