max_speed,density,rotary_method,velocity,std,std_error,ci_lower,ci_upper,n_samples,n_gridlocked,normality_p_value
1,0.05,0,1.879117741935484,0.001907807805032452,0.0003815615610064904,1.8783302375785502,1.879905246292418,25,0,0.0028674644489423305
1,0.1,0,1.8384694789081886,0.08257779643390299,0.0165155592867806,1.8043830398517198,1.8725559179646574,25,0,4.776950579873338e-10
1,0.15,0,1.177970359652749,0.4915063870582416,0.09830127741164832,0.9750864945966511,1.3808542247088471,25,0,8.012072879925427e-07
1,0.2,0,0.29657711984911844,0.45840147007286486,0.09168029401457298,0.10735829290280721,0.4857959467954297,25,4,1.7580523705231519e-06
1,0.25,0,0.12595790543455376,0.18531070517168008,0.03706214103433601,0.04946540586293281,0.20245040500617473,25,6,6.4217795017653715e-06
1,0.3,0,0.005240362293176537,0.012980578590488269,0.002596115718097654,-0.00011775720322510733,0.01059848178957818,25,17,3.4946697753300114e-09
1,0.35,0,0.00019063470253874942,0.0003538222259925969,7.076444519851938e-05,4.458406587912035e-05,0.00033668533919837846,25,24,6.132504622748697e-07
3,0.05,0,1.8771699751861042,0.0031308603539781646,0.000626172070795633,1.8758776195498574,1.878462330822351,25,0,6.557327911655985e-06
3,0.1,0,1.2406501737942945,0.7337392332660313,0.14674784665320625,0.9377775041647327,1.5435228434238564,25,4,3.3782081040921155e-05
3,0.15,0,1.4619896238114922,0.05796306278110296,0.011592612556220593,1.4380636474311976,1.4859156001917868,25,0,4.236648916265116e-10
3,0.2,0,0.5275203076279275,0.28558853803830897,0.05711770760766179,0.4096351530529844,0.6454054622028705,25,2,0.04306370259839548
3,0.25,0,0.07054024600657323,0.05280914625430879,0.010561829250861758,0.048741701807558886,0.09233879020558758,25,7,0.024094166828938928
3,0.3,0,0.013349238749671661,0.016461897429421907,0.0032923794858843816,0.006554101464421282,0.02014437603492204,25,15,0.00016531330214938133
3,0.35,0,0.005549510933897293,0.006576268666719998,0.0013152537333439996,0.002834960645472728,0.008264061222321858,25,24,3.295728696979728e-05
3,0.4,0,0.0013132238554324953,0.0018190505286247998,0.00036381010572495993,0.0005623567015210123,0.0020640910093439784,25,25,6.300256733911444e-07
3,0.45,0,0.00614366203949206,0.007707159624698833,0.0015414319249397667,0.002962302906761364,0.009325021172222756,25,25,0.00017825044490043127
3,0.5,0,0.00027831430835741853,0.00045031791189689853,9.00635823793797e-05,9.243221022954998e-05,0.0004641964064852871,25,25,3.4922431558027502e-06
5,0.05,0,1.8789076923076922,0.001757634837297785,0.00035152696745955703,1.878182176305179,1.8796332083102054,25,0,0.00383536123320027
5,0.1,0,1.5760342750910243,0.5968945129134019,0.11937890258268039,1.3296483297618986,1.82242022042015,25,2,7.526913716920385e-08
5,0.15,0,0.968699953294087,0.6212918771205478,0.12425837542410956,0.7122432709860327,1.2251566356021413,25,6,1.5288765830409945e-05
5,0.2,0,0.3477127472198353,0.42423298562402045,0.0848465971248041,0.17259797745491995,0.5228275169847507,25,11,2.3052715647127676e-06
5,0.25,0,0.16745425389100524,0.16296188638817885,0.03259237727763577,0.10018689330765498,0.2347216144743555,25,4,0.0011852648788706192
5,0.3,0,0.007406046739890262,0.008244036996196327,0.0016488073992392653,0.0040030755201987045,0.010809017959581821,25,19,1.131432513580263e-05
5,0.35,0,0.0005826337758296886,0.000318114724341812,6.362294486836239e-05,0.00045132247142933664,0.0007139450802300406,25,25,0.3146186471181329
